date,location,target,assay,conc,type,frequency,lod,label
2021-07-28,Intake,16S rRNA,16s rrna,917941.458749899,Passive,Weekly,260,NA
2021-07-28,Intake,cyrA,toxins,134.2725265525872,Passive,Weekly,260,italic(`cyrA`)
2021-07-28,Intake,sxtA,toxins,NA,Passive,Weekly,260,italic(`sxtA`)
2021-07-28,Intake,mcyE/ndaF,toxins,26680.941598651872,Passive,Weekly,260,italic(`mcyE/ndaF`)
2021-08-03,Inlet,16S rRNA,16s rrna,1819662.476457634,Passive,Bi-Weekly,260,NA
2021-08-03,Outlet,16S rRNA,16s rrna,308102.00370503735,Passive,Weekly,260,NA
2021-08-03,Outlet,16S rRNA,16s rrna,476162.102526812,Passive,Bi-Weekly,260,NA
2021-08-03,Inlet,16S rRNA,16s rrna,73707.72993604955,Grab,Weekly,180,NA
2021-08-03,Outlet,16S rRNA,16s rrna,107574.28827550203,Grab,Weekly,180,NA
2021-08-03,Inlet,16S rRNA,16s rrna,324612.82281204715,Passive,Weekly,260,NA
2021-08-03,Inlet,cyrA,toxins,69.0711728062364,Passive,Bi-Weekly,260,italic(`cyrA`)
2021-08-03,Outlet,cyrA,toxins,1010.3724709546035,Passive,Weekly,260,italic(`cyrA`)
2021-08-03,Outlet,cyrA,toxins,NA,Passive,Bi-Weekly,260,italic(`cyrA`)
2021-08-03,Inlet,cyrA,toxins,6.566708102633147,Grab,Weekly,180,italic(`cyrA`)
2021-08-03,Outlet,cyrA,toxins,NA,Grab,Weekly,180,italic(`cyrA`)
2021-08-03,Inlet,sxtA,toxins,NA,Passive,Bi-Weekly,260,italic(`sxtA`)
2021-08-03,Outlet,sxtA,toxins,NA,Passive,Weekly,260,italic(`sxtA`)
2021-08-03,Outlet,sxtA,toxins,NA,Passive,Bi-Weekly,260,italic(`sxtA`)
2021-08-03,Inlet,sxtA,toxins,NA,Grab,Weekly,180,italic(`sxtA`)
2021-08-03,Outlet,sxtA,toxins,NA,Grab,Weekly,180,italic(`sxtA`)
2021-08-03,Inlet,mcyE/ndaF,toxins,30.45218897066558,Passive,Bi-Weekly,260,italic(`mcyE/ndaF`)
2021-08-03,Outlet,mcyE/ndaF,toxins,31.95694490830141,Passive,Weekly,260,italic(`mcyE/ndaF`)
2021-08-03,Outlet,mcyE/ndaF,toxins,NA,Passive,Bi-Weekly,260,italic(`mcyE/ndaF`)
2021-08-03,Inlet,mcyE/ndaF,toxins,228.25699798502492,Grab,Weekly,180,italic(`mcyE/ndaF`)
2021-08-03,Outlet,mcyE/ndaF,toxins,811.0636123716014,Grab,Weekly,180,italic(`mcyE/ndaF`)
2021-08-03,Inlet,cyrA,toxins,1474.0509990655944,Passive,Weekly,260,italic(`cyrA`)
2021-08-03,Inlet,sxtA,toxins,NA,Passive,Weekly,260,italic(`sxtA`)
2021-08-03,Inlet,mcyE/ndaF,toxins,NA,Passive,Weekly,260,italic(`mcyE/ndaF`)
2021-08-05,Intake,16S rRNA,16s rrna,959927.4299026692,Passive,Weekly,260,NA
2021-08-05,Intake,cyrA,toxins,NA,Passive,Weekly,260,italic(`cyrA`)
2021-08-05,Intake,sxtA,toxins,NA,Passive,Weekly,260,italic(`sxtA`)
2021-08-05,Intake,mcyE/ndaF,toxins,18054.76297303043,Passive,Weekly,260,italic(`mcyE/ndaF`)
2021-08-10,Inlet,16S rRNA,16s rrna,141911.20846818743,Grab,Weekly,180,NA
2021-08-10,Outlet,16S rRNA,16s rrna,185593.6044316189,Grab,Weekly,180,NA
2021-08-10,Inlet,16S rRNA,16s rrna,537650.7760188739,Passive,Weekly,260,NA
2021-08-10,Outlet,16S rRNA,16s rrna,140773.33204395702,Passive,Weekly,260,NA
2021-08-10,Inlet,cyrA,toxins,NA,Grab,Weekly,180,italic(`cyrA`)
2021-08-10,Outlet,cyrA,toxins,51.91938917944194,Grab,Weekly,180,italic(`cyrA`)
2021-08-10,Inlet,cyrA,toxins,353.5553103238604,Passive,Weekly,260,italic(`cyrA`)
2021-08-10,Outlet,cyrA,toxins,NA,Passive,Weekly,260,italic(`cyrA`)
2021-08-10,Inlet,sxtA,toxins,NA,Grab,Weekly,180,italic(`sxtA`)
2021-08-10,Outlet,sxtA,toxins,NA,Grab,Weekly,180,italic(`sxtA`)
2021-08-10,Inlet,sxtA,toxins,170.5703206006012,Passive,Weekly,260,italic(`sxtA`)
2021-08-10,Outlet,sxtA,toxins,NA,Passive,Weekly,260,italic(`sxtA`)
2021-08-10,Inlet,mcyE/ndaF,toxins,455.9932903049769,Grab,Weekly,180,italic(`mcyE/ndaF`)
2021-08-10,Outlet,mcyE/ndaF,toxins,2182.395058343826,Grab,Weekly,180,italic(`mcyE/ndaF`)
2021-08-10,Inlet,mcyE/ndaF,toxins,544.3389398083007,Passive,Weekly,260,italic(`mcyE/ndaF`)
2021-08-10,Outlet,mcyE/ndaF,toxins,22.688433516693912,Passive,Weekly,260,italic(`mcyE/ndaF`)
2021-08-12,Intake,16S rRNA,16s rrna,339755.1010191884,Passive,Weekly,260,NA
2021-08-12,Intake,cyrA,toxins,34.96693435408761,Passive,Weekly,260,italic(`cyrA`)
2021-08-12,Intake,sxtA,toxins,NA,Passive,Weekly,260,italic(`sxtA`)
2021-08-12,Intake,mcyE/ndaF,toxins,56139.62422189639,Passive,Weekly,260,italic(`mcyE/ndaF`)
2021-08-17,Inlet,16S rRNA,16s rrna,494244.1463982397,Passive,Weekly,260,NA
2021-08-17,Inlet,16S rRNA,16s rrna,580098.3425695943,Passive,Bi-Weekly,260,NA
2021-08-17,Inlet,16S rRNA,16s rrna,124436.91287684954,Grab,Weekly,180,NA
2021-08-17,Outlet,16S rRNA,16s rrna,110783.8611201716,Grab,Weekly,180,NA
2021-08-17,Inlet,cyrA,toxins,NA,Passive,Weekly,260,italic(`cyrA`)
2021-08-17,Inlet,cyrA,toxins,2731.7166158916198,Passive,Bi-Weekly,260,italic(`cyrA`)
2021-08-17,Inlet,cyrA,toxins,NA,Grab,Weekly,180,italic(`cyrA`)
2021-08-17,Outlet,cyrA,toxins,1.4016827846854258,Grab,Weekly,180,italic(`cyrA`)
2021-08-17,Inlet,sxtA,toxins,NA,Passive,Weekly,260,italic(`sxtA`)
2021-08-17,Inlet,sxtA,toxins,NA,Passive,Bi-Weekly,260,italic(`sxtA`)
2021-08-17,Inlet,sxtA,toxins,NA,Grab,Weekly,180,italic(`sxtA`)
2021-08-17,Outlet,sxtA,toxins,NA,Grab,Weekly,180,italic(`sxtA`)
2021-08-17,Inlet,mcyE/ndaF,toxins,420.76714664335236,Passive,Weekly,260,italic(`mcyE/ndaF`)
2021-08-17,Inlet,mcyE/ndaF,toxins,NA,Passive,Bi-Weekly,260,italic(`mcyE/ndaF`)
2021-08-17,Inlet,mcyE/ndaF,toxins,558.6644237039828,Grab,Weekly,180,italic(`mcyE/ndaF`)
2021-08-17,Outlet,mcyE/ndaF,toxins,1923.8811005400983,Grab,Weekly,180,italic(`mcyE/ndaF`)
2021-08-19,Intake,16S rRNA,16s rrna,760993.6346695026,Passive,Weekly,260,NA
2021-08-24,Outlet,16S rRNA,16s rrna,73618.40026812552,Passive,Bi-Weekly,260,NA
2021-08-24,Inlet,16S rRNA,16s rrna,90394.81608600049,Grab,Weekly,180,NA
