date,location,target,assay,conc,type,frequency,lod
2021-11-02,outlet,total_cyano,16s rrna,269006.41764948313,passive,weekly,260
2021-11-02,inlet,total_cyano,16s rrna,157859.8577544212,grab,weekly,180
2021-11-02,outlet,total_cyano,16s rrna,75418.79871883537,grab,weekly,180
2021-11-02,inlet,cyra,toxins,NA,passive,weekly,260
2021-11-02,outlet,cyra,toxins,NA,passive,weekly,260
2021-11-02,inlet,cyra,toxins,NA,grab,weekly,180
2021-11-02,outlet,cyra,toxins,4.4199473482259295,grab,weekly,180
2021-11-02,inlet,sxta,toxins,NA,passive,weekly,260
2021-11-02,outlet,sxta,toxins,505.8751152498107,passive,weekly,260
2021-11-02,inlet,sxta,toxins,NA,grab,weekly,180
2021-11-02,outlet,sxta,toxins,NA,grab,weekly,180
2021-11-02,inlet,mcye_ndaf,toxins,54.35622848066724,passive,weekly,260
2021-11-02,outlet,mcye_ndaf,toxins,1137.8511468965999,passive,weekly,260
2021-11-02,inlet,mcye_ndaf,toxins,302.11206611891487,grab,weekly,180
2021-11-02,outlet,mcye_ndaf,toxins,4138.913155906317,grab,weekly,180
2021-11-04,intake,total_cyano,16s rrna,23878.08615691884,passive,weekly,260
2021-11-04,intake,cyra,toxins,NA,passive,weekly,260
2021-11-04,intake,sxta,toxins,NA,passive,weekly,260
2021-11-04,intake,mcye_ndaf,toxins,24.636201453338096,passive,weekly,260
2021-11-09,outlet,total_cyano,16s rrna,84864.90877523174,passive,weekly,260
2021-11-09,inlet,total_cyano,16s rrna,219014.8726952127,grab,weekly,180
2021-11-09,outlet,total_cyano,16s rrna,68142.94379850099,grab,weekly,180
2021-11-09,inlet,total_cyano,16s rrna,342663.4640727389,passive,weekly,260
2021-11-09,inlet,total_cyano,16s rrna,471565.4360237798,passive,bi-weekly,260
2021-11-09,inlet,cyra,toxins,303.6666978104278,passive,weekly,260
2021-11-09,inlet,cyra,toxins,NA,passive,bi-weekly,260
2021-11-09,outlet,cyra,toxins,NA,passive,weekly,260
2021-11-09,inlet,cyra,toxins,NA,grab,weekly,180
2021-11-09,outlet,cyra,toxins,NA,grab,weekly,180
2021-11-09,inlet,sxta,toxins,NA,passive,weekly,260
2021-11-09,inlet,sxta,toxins,NA,passive,bi-weekly,260
2021-11-09,outlet,sxta,toxins,NA,passive,weekly,260
2021-11-09,inlet,sxta,toxins,NA,grab,weekly,180
2021-11-09,outlet,sxta,toxins,NA,grab,weekly,180
2021-11-09,inlet,mcye_ndaf,toxins,374.353592110676,passive,weekly,260
2021-11-09,inlet,mcye_ndaf,toxins,75.61482512763327,passive,bi-weekly,260
2021-11-09,outlet,mcye_ndaf,toxins,NA,passive,weekly,260
2021-11-09,inlet,mcye_ndaf,toxins,169.03207417665115,grab,weekly,180
2021-11-09,outlet,mcye_ndaf,toxins,313.73737337102534,grab,weekly,180
2021-11-16,inlet,total_cyano,16s rrna,150510.91826297296,passive,weekly,260
2021-11-16,outlet,total_cyano,16s rrna,99051.15553705352,passive,weekly,260
2021-11-16,inlet,total_cyano,16s rrna,235569.2120568409,grab,weekly,180
2021-11-16,outlet,total_cyano,16s rrna,78942.28337255868,grab,weekly,180
2021-11-16,outlet,cyra,toxins,NA,grab,weekly,180
2021-11-16,inlet,cyra,toxins,124.90945408955402,passive,weekly,260
2021-11-16,outlet,cyra,toxins,NA,passive,weekly,260
2021-11-16,inlet,cyra,toxins,NA,grab,weekly,180
2021-11-16,outlet,sxta,toxins,NA,grab,weekly,180
2021-11-16,inlet,sxta,toxins,NA,passive,weekly,260
2021-11-16,outlet,sxta,toxins,NA,passive,weekly,260
2021-11-16,inlet,sxta,toxins,NA,grab,weekly,180
2021-11-16,outlet,mcye_ndaf,toxins,840.9593578792427,grab,weekly,180
2021-11-16,inlet,mcye_ndaf,toxins,423.05278907799396,passive,weekly,260
2021-11-16,outlet,mcye_ndaf,toxins,565.6939572071614,passive,weekly,260
2021-11-16,inlet,mcye_ndaf,toxins,593.7456314339368,grab,weekly,180
2021-11-25,intake,total_cyano,16s rrna,113565.60033290688,passive,weekly,260
2021-11-25,intake,cyra,toxins,NA,passive,weekly,260
2021-11-25,intake,sxta,toxins,NA,passive,weekly,260
2021-11-25,intake,mcye_ndaf,toxins,6860.19529919375,passive,weekly,260
2021-11-30,outlet,total_cyano,16s rrna,107690.62699640219,passive,bi-weekly,260
2021-11-30,inlet,total_cyano,16s rrna,182407.1435155898,grab,weekly,180
2021-11-30,outlet,total_cyano,16s rrna,158641.73006057309,grab,weekly,180
2021-11-30,inlet,total_cyano,16s rrna,778904.5636140425,passive,bi-weekly,260
2021-11-30,inlet,cyra,toxins,NA,passive,bi-weekly,260
2021-11-30,outlet,cyra,toxins,NA,passive,bi-weekly,260
2021-11-30,inlet,cyra,toxins,4.863381302297895,grab,weekly,180
2021-11-30,outlet,cyra,toxins,NA,grab,weekly,180
2021-11-30,inlet,sxta,toxins,NA,passive,bi-weekly,260
2021-11-30,outlet,sxta,toxins,NA,passive,bi-weekly,260
2021-11-30,inlet,sxta,toxins,NA,grab,weekly,180
2021-11-30,outlet,sxta,toxins,NA,grab,weekly,180
2021-11-30,inlet,mcye_ndaf,toxins,269.3795129128099,passive,bi-weekly,260
2021-11-30,outlet,mcye_ndaf,toxins,NA,passive,bi-weekly,260
2021-11-30,inlet,mcye_ndaf,toxins,1154.5865379975512,grab,weekly,180
2021-11-30,outlet,mcye_ndaf,toxins,453.0448041596573,grab,weekly,180
2021-07-19,intake,total_cyano,16s,61524.24399999999,grab,weekly,45
2021-07-29,intake,total_cyano,16s,60204.052,grab,weekly,45
2021-08-12,intake,total_cyano,16s,46159.748,grab,weekly,45
2021-08-26,intake,total_cyano,16s,64020.043999999994,grab,weekly,45
2021-09-09,intake,total_cyano,16s,11973.656,grab,weekly,45
2021-09-23,intake,total_cyano,16s,25461.888,grab,weekly,45
2021-10-07,intake,total_cyano,16s,13839.011999999999,grab,weekly,45
2021-10-21,intake,total_cyano,16s,8263.012,grab,weekly,45
2021-10-28,intake,total_cyano,16s,7297.016,grab,weekly,45
2021-07-19,intake,mcye_ndaf,toxins,NA,grab,weekly,45
2021-07-19,intake,cyra,toxins,NA,grab,weekly,45
2021-07-19,intake,sxta,toxins,NA,grab,weekly,45
2021-07-29,intake,mcye_ndaf,toxins,NA,grab,weekly,45
2021-07-29,intake,cyra,toxins,NA,grab,weekly,45
2021-07-29,intake,sxta,toxins,NA,grab,weekly,45
2021-08-12,intake,mcye_ndaf,toxins,NA,grab,weekly,45
2021-08-12,intake,cyra,toxins,NA,grab,weekly,45
2021-08-12,intake,sxta,toxins,NA,grab,weekly,45
2021-08-26,intake,mcye_ndaf,toxins,NA,grab,weekly,45
2021-08-26,intake,cyra,toxins,NA,grab,weekly,45
2021-08-26,intake,sxta,toxins,NA,grab,weekly,45
2021-09-09,intake,mcye_ndaf,toxins,NA,grab,weekly,45
2021-09-09,intake,cyra,toxins,NA,grab,weekly,45
2021-09-09,intake,sxta,toxins,NA,grab,weekly,45
2021-09-16,intake,mcye_ndaf,toxins,NA,grab,weekly,45
2021-09-16,intake,cyra,toxins,NA,grab,weekly,45
2021-09-16,intake,sxta,toxins,NA,grab,weekly,45
2021-09-23,intake,mcye_ndaf,toxins,255.688,grab,weekly,45
2021-09-23,intake,cyra,toxins,NA,grab,weekly,45
2021-09-23,intake,sxta,toxins,NA,grab,weekly,45
2021-09-29,intake,mcye_ndaf,toxins,288.44,grab,weekly,45
2021-09-29,intake,cyra,toxins,NA,grab,weekly,45
2021-09-29,intake,sxta,toxins,NA,grab,weekly,45
2021-10-07,intake,mcye_ndaf,toxins,NA,grab,weekly,45
2021-10-07,intake,cyra,toxins,NA,grab,weekly,45
2021-10-07,intake,sxta,toxins,NA,grab,weekly,45
2021-10-14,intake,mcye_ndaf,toxins,NA,grab,weekly,45
2021-10-14,intake,cyra,toxins,NA,grab,weekly,45
2021-10-14,intake,sxta,toxins,NA,grab,weekly,45
2021-10-21,intake,mcye_ndaf,toxins,NA,grab,weekly,45
2021-10-21,intake,cyra,toxins,NA,grab,weekly,45
2021-10-21,intake,sxta,toxins,NA,grab,weekly,45
