date,location,target,assay,conc,type,frequency,lod
2021-08-03,outlet,mcye_ndaf,toxins,811.0636123716014,grab,weekly,180
2021-08-03,inlet,cyra,toxins,1474.0509990655944,passive,weekly,260
2021-08-03,inlet,sxta,toxins,NA,passive,weekly,260
2021-08-03,inlet,mcye_ndaf,toxins,NA,passive,weekly,260
2021-08-05,intake,total_cyano,16s rrna,959927.4299026692,passive,weekly,260
2021-08-05,intake,cyra,toxins,NA,passive,weekly,260
2021-08-05,intake,sxta,toxins,NA,passive,weekly,260
2021-08-05,intake,mcye_ndaf,toxins,18054.76297303043,passive,weekly,260
2021-08-10,inlet,total_cyano,16s rrna,141911.20846818743,grab,weekly,180
2021-08-10,outlet,total_cyano,16s rrna,185593.6044316189,grab,weekly,180
2021-08-10,inlet,total_cyano,16s rrna,537650.7760188739,passive,weekly,260
2021-08-10,outlet,total_cyano,16s rrna,140773.33204395702,passive,weekly,260
2021-08-10,inlet,cyra,toxins,NA,grab,weekly,180
2021-08-10,outlet,cyra,toxins,51.91938917944194,grab,weekly,180
2021-08-10,inlet,cyra,toxins,353.5553103238604,passive,weekly,260
2021-08-10,outlet,cyra,toxins,NA,passive,weekly,260
2021-08-10,inlet,sxta,toxins,NA,grab,weekly,180
2021-08-10,outlet,sxta,toxins,NA,grab,weekly,180
2021-08-10,inlet,sxta,toxins,170.5703206006012,passive,weekly,260
2021-08-10,outlet,sxta,toxins,NA,passive,weekly,260
2021-08-10,inlet,mcye_ndaf,toxins,455.9932903049769,grab,weekly,180
2021-08-10,outlet,mcye_ndaf,toxins,2182.395058343826,grab,weekly,180
2021-08-10,inlet,mcye_ndaf,toxins,544.3389398083007,passive,weekly,260
2021-08-10,outlet,mcye_ndaf,toxins,22.688433516693912,passive,weekly,260
2021-08-12,intake,total_cyano,16s rrna,339755.1010191884,passive,weekly,260
2021-08-12,intake,cyra,toxins,34.96693435408761,passive,weekly,260
2021-08-12,intake,sxta,toxins,NA,passive,weekly,260
2021-08-12,intake,mcye_ndaf,toxins,56139.62422189639,passive,weekly,260
2021-08-17,inlet,total_cyano,16s rrna,494244.1463982397,passive,weekly,260
2021-08-17,inlet,total_cyano,16s rrna,580098.3425695943,passive,bi-weekly,260
2021-08-17,inlet,total_cyano,16s rrna,124436.91287684954,grab,weekly,180
2021-08-17,outlet,total_cyano,16s rrna,110783.8611201716,grab,weekly,180
2021-08-17,inlet,cyra,toxins,NA,passive,weekly,260
2021-08-17,inlet,cyra,toxins,2731.7166158916198,passive,bi-weekly,260
2021-08-17,inlet,cyra,toxins,NA,grab,weekly,180
2021-08-17,outlet,cyra,toxins,1.4016827846854258,grab,weekly,180
2021-08-17,inlet,sxta,toxins,NA,passive,weekly,260
2021-08-17,inlet,sxta,toxins,NA,passive,bi-weekly,260
2021-08-17,inlet,sxta,toxins,NA,grab,weekly,180
2021-08-17,outlet,sxta,toxins,NA,grab,weekly,180
2021-08-17,inlet,mcye_ndaf,toxins,420.76714664335236,passive,weekly,260
2021-08-17,inlet,mcye_ndaf,toxins,NA,passive,bi-weekly,260
2021-08-17,inlet,mcye_ndaf,toxins,558.6644237039828,grab,weekly,180
2021-08-17,outlet,mcye_ndaf,toxins,1923.8811005400983,grab,weekly,180
2021-08-19,intake,cyra,toxins,NA,passive,weekly,260
2021-08-19,intake,sxta,toxins,NA,passive,weekly,260
2021-08-19,intake,mcye_ndaf,toxins,4249.1492968002685,passive,weekly,260
2021-08-19,intake,total_cyano,16s rrna,760993.6346695026,passive,weekly,260
2021-08-24,outlet,total_cyano,16s rrna,73618.40026812552,passive,bi-weekly,260
2021-08-24,inlet,total_cyano,16s rrna,90394.81608600049,grab,weekly,180
2021-08-24,outlet,total_cyano,16s rrna,142274.44827173383,grab,weekly,180
2021-08-24,inlet,total_cyano,16s rrna,253599.59674799425,passive,weekly,260
2021-08-24,outlet,total_cyano,16s rrna,168082.88954933282,passive,weekly,260
2021-08-24,outlet,cyra,toxins,28.976604655623998,passive,bi-weekly,260
2021-08-24,inlet,cyra,toxins,NA,grab,weekly,180
2021-08-24,outlet,cyra,toxins,1.1821330490768696,grab,weekly,180
2021-08-24,inlet,cyra,toxins,NA,passive,weekly,260
2021-08-24,outlet,cyra,toxins,NA,passive,weekly,260
2021-08-24,outlet,sxta,toxins,NA,passive,bi-weekly,260
2021-08-24,inlet,sxta,toxins,NA,grab,weekly,180
2021-08-24,outlet,sxta,toxins,NA,grab,weekly,180
2021-08-24,inlet,sxta,toxins,NA,passive,weekly,260
2021-08-24,outlet,sxta,toxins,NA,passive,weekly,260
2021-08-24,outlet,mcye_ndaf,toxins,NA,passive,bi-weekly,260
2021-08-24,inlet,mcye_ndaf,toxins,775.549741381776,grab,weekly,180
2021-08-24,outlet,mcye_ndaf,toxins,1734.4855729072349,grab,weekly,180
2021-08-24,inlet,mcye_ndaf,toxins,NA,passive,weekly,260
2021-08-24,outlet,mcye_ndaf,toxins,8.49799467863854,passive,weekly,260
2021-08-26,intake,cyra,toxins,NA,passive,weekly,260
2021-08-26,intake,sxta,toxins,NA,passive,weekly,260
2021-08-26,intake,mcye_ndaf,toxins,2791.8339150340053,passive,weekly,260
2021-08-26,intake,total_cyano,16s rrna,884351.8509090891,passive,weekly,260
2021-08-31,inlet,total_cyano,16s rrna,524977.997196516,passive,weekly,260
2021-08-31,inlet,total_cyano,16s rrna,1322990.439894711,passive,bi-weekly,260
2021-08-31,outlet,total_cyano,16s rrna,271932.9702215355,passive,weekly,260
