target,r_squared,intercept,slope,efficiency
cyra,0.999962,37.021912213280956,-3.3047451537569,100.7221007874243
sxta,0.999951,36.278557048104815,-3.3471202015340893,98.95932223649568
total_cyano,0.999693,36.783182108068395,-3.4128392477325806,96.3410747048965
mcye_ndaf,0.999904,37.00540381820228,-3.3608699161795492,98.40015765089511
