target,r_squared,intercept,slope,efficiency
total_cyano,0.996761,36.55849999999999,-3.4039999999999986,96.68535904131672
mcye_ndaf,0.99892,37.925000000000004,-3.5049999999999994,92.8886638445695
cyra,0.999747,36.33125000000001,-3.351250000000002,98.79072648318103
sxta,0.999015,38.56525000000001,-3.398250000000002,96.91060616354498
